x,y,Households,Population Density (Per Sq. Mile),Median Household Income (In 2010 Inflation Adjusted Dollars),Area (Land),Average Household Size,Climate Zone,Ave Max Temp,PreMax,CES 2.0 Score,% Total Population: Under 18 Years,% Total Population: 18 to 64 Years,% Total Population: 65 and Over,% Total Population: Not Hispanic or Latino: White Alone,% Total Population: Not Hispanic or Latino: Black or African American Alone,% Total Population: Hispanic or Latino,%Unemployed: 16 years and over,% Occupied Housing Units: Renter Occupied,% Low Birth Weight,%Building age: 2000 or later,%Building age: 1960-1999,%Building age: 1959 or earlier,%Vacant Housing Units,% Ozone,% PM2.5,% Drinking Water,% Traffic,% Groundwater Threats,% Imp. Water Bodies,% Solid Waste
-118.2939987,33.7504997,348,10526.83,65294,0.11598934,3.51,6,67.57749067,67.57749067,44.13617686,34.56,56.92,8.52,15.89,19.49,64.62,57.08435708,42.24,71.5911934,0,66.95402299,33.04597701,0,0,62.33635448,22.23055764,61.38206312,70.2903124,76.52925532,37.87834264
-118.4329987,34.1834984,642,14879.47,35741,0.108404363,2.51,9,66.98139699,66.98139699,31.8462141,21.14,68.2,10.66,42.47,4.09,42.84,55.61066336,81.78,74.06805104,3.894080997,54.98442368,41.12149533,1.246105919,63.40099089,65.3449144,69.09227307,58.28863665,15.52540234,0,0
-118.4530029,34.1820984,701,22025.38,31069,0.107693935,3.38,9,66.86385727,66.86385727,44.53958337,19.56,76.69,3.75,7.38,0,91.86,44.85666105,94.29,84.17563172,13.26676177,70.18544936,16.54778887,9.985734665,63.67268659,64.84138973,69.09227307,39.1917176,40.24929,0,76.90273288
-118.4550018,34.1851997,649,45070.13,31215,0.052118774,3.62,9,66.82979012,66.82979012,51.99515528,28.27,68.46,3.28,6.34,1.28,87.95,50.44699872,100,92.10657993,1.232665639,39.13713405,59.63020031,2.157164869,64.04027489,64.52668681,69.09227307,61.66895347,65.30451246,71.63120567,91.53687922
-118.3010025,34.2636986,366,9829.195,51327,0.102856847,2.76,9,67.51643117,67.51643117,19.87614813,16.52,73.99,9.5,66.86,0,13.16,45.40059347,8.74,66.37478109,0,4.644808743,95.35519126,7.923497268,75.49944063,61.40483384,69.09227307,9.504802295,0,0,0
-118.3479996,34.2776985,534,1168.719,80362,1.591486524,3.46,16,67.5023836,67.5023836,30.67808896,29.57,56.13,14.3,40.05,3.66,42.26,63.33333333,27.15,66.04953715,0,54.86891386,45.13108614,9.36329588,76.80997283,59.27744209,61.05276319,81.96332793,0,0,69.11548634
-118.3330002,34.2686996,931,2174.701,69271,1.074170614,2.51,16,67.49456278,67.49456278,30.67808896,14.55,67.34,18.11,66.78,2.74,16.74,53.46746575,24.81,66.04953715,1.71858217,47.90547798,50.37593985,4.296455424,76.80997283,59.27744209,61.05276319,81.96332793,0,0,69.11548634
-118.4110031,34.3028984,869,3466.477,100844,1.03765307,3.87,9,67.47555219,67.47555219,28.90915263,27.91,61.44,10.65,22.44,3.81,54.46,50.06950236,4.83,46.91018264,40.50632911,35.21288838,24.28078251,0,83.69825795,52.64350453,60.25256314,78.54559062,39.42884191,0,24.03761387
-118.4530029,34.2677002,279,5606.568,59625,0.20297623,3.92,9,67.10406201,67.10406201,32.78139618,19.07,67.67,13.27,22.5,5.45,65.82,46.92442882,31.9,84.37578184,7.885304659,26.52329749,65.59139785,8.960573477,80.46987374,56.26888218,69.09227307,94.5366097,0,0,0
-118.4290009,34.3046989,1195,13944.14,41832,0.277966153,3.24,9,67.43855953,67.43855953,40.14158159,32.48,61.09,6.42,10.53,6.17,75.88,59.75232198,51.05,89.6922692,5.606694561,67.19665272,27.19665272,5.857740586,84.06584625,52.58056395,69.09227307,79.91767494,0,0,10.40258595
-118.5070038,34.2849998,316,5303.897,56053,0.183827107,3.09,9,67.20432634,67.20432634,27.66806902,24,62.36,13.64,66.87,6.67,10.46,63.48717949,15.51,70.35276457,0,60.12658228,39.87341772,6.64556962,83.85807895,51.97633434,69.09227307,79.40626169,0,15.11524823,0
-118.1809998,34.0834007,824,21591.23,40136,0.130238055,3.41,9,67.66291733,67.66291733,29.83162352,24.47,66.53,9,3.59,1.56,80.26,55.08534851,54,2.239179385,2.548543689,57.88834951,39.5631068,5.097087379,53.25235736,83.27039275,27.71942986,56.30535113,21.48942884,0,0
-118.4520035,34.2705002,289,7151.468,79375,0.140950074,3.49,9,67.12546921,67.12546921,32.78139618,31.55,56.25,12.2,15.67,0,73.71,52.87698413,17.99,84.37578184,0,48.78892734,51.21107266,12.11072664,80.46987374,56.26888218,69.09227307,94.5366097,0,0,0
-118.4219971,34.2977982,249,10722.45,60815,0.112474266,4.84,9,67.41887992,67.41887992,40.14158159,31.67,68.33,0,0.83,0,99.17,48.50746269,53.41,89.6922692,4.016064257,12.85140562,83.13253012,22.89156627,84.06584625,52.58056395,69.09227307,79.91767494,0,0,10.40258595
-118.2480011,33.7921982,248,21921.16,40875,0.054696006,4.83,6,67.56106059,67.56106059,44.04279929,40.7,58.29,1,0,7.84,92.16,56.38031693,68.15,42.39429572,0,12.09677419,87.90322581,0,0,66.20090634,22.23055764,23.56242984,76.55411802,0,91.21363503
-118.3040009,33.803299,920,9394.815,89083,0.294524145,2.91,6,67.61246147,67.61246147,25.50680194,18.79,66.57,14.64,33.54,1.3,34.37,42.75388507,2.83,56.70502877,25.97826087,49.23913043,24.7826087,0,0,67.33383686,31.93298325,50.99164276,0.142000631,41.97695035,39.28886277
-118.2689972,34.1030998,522,8668.092,125833,0.12644074,2.1,9,68.10562897,68.10562897,28.72609922,13.41,67.98,18.61,64.6,1.19,7.57,40.41970803,22.03,35.81436077,0,9.578544061,90.42145594,0,51.28655905,77.37915408,74.56864216,16.9764251,27.62701168,55.4964539,14.1933588
-118.2979965,34.0681,646,109201.6,35172,0.01837885,3.11,9,68.64628792,68.64628792,34.58408615,34.38,63.43,2.19,4.88,6.78,58.05,53.71200797,100,6.742556918,0,61.14551084,38.85448916,13.77708978,40.22694582,80.19889225,74.56864216,49.41998254,36.79394131,0,0
-118.3720016,34.0782013,575,6424.066,104196,0.177146381,1.98,9,67.97998962,67.97998962,21.78581053,15.29,62.75,21.97,89.81,0,4.66,45.43057996,38.43,30.7105329,0,12.34782609,87.65217391,6.434782609,37.27025731,75.31470292,74.56864216,59.5983535,63.12716945,0,37.87834264
-118.2649994,34.1002998,278,7320.632,60476,0.158319652,1.85,9,68.10903263,68.10903263,28.72609922,3.62,77.14,19.24,54.1,6.21,18.81,67.90336497,70.14,35.81436077,0,31.65467626,68.34532374,0,51.28655905,77.37915408,74.56864216,16.9764251,27.62701168,55.4964539,14.1933588
